"","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","torque","rpm","brand","car_type","age"
"34",2017,650,16.2,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",4
"35",2019,366,15,"Petrol","Individual","Manual","First Owner",23.95,998,67.1,5,90,3500,"Maruti","Small",2
"36",2019,1149,5,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,151,4850,"Hyundai","Small",2
"37",2016,150,42,"Petrol","Individual","Manual","First Owner",20.63,1198,67,5,104,4000,"Datsun","Small",5
"38",2011,425,60,"Diesel","Individual","Manual","Second Owner",13.93,2179,138.03,7,320,2700,"Tata","Medium",10
"39",2012,150,76,"Petrol","Individual","Manual","First Owner",16.1,796,37,4,59,2500,"Maruti","Small",9
"40",2019,2100,5,"Petrol","Individual","Automatic","First Owner",16,1368,160.77,5,250,2500,"Jeep","Small",2
"41",2018,925,28.9,"Petrol","Dealer","Manual","First Owner",17.8,1497,117.3,5,145,4600,"Honda","Small",3
"42",2013,425,86.3,"Petrol","Dealer","Manual","First Owner",16.8,1497,116.3,5,146,4800,"Honda","Small",8
"43",2018,675,23.3,"Petrol","Dealer","Automatic","First Owner",18.5,1197,83.14,5,115,4000,"Maruti","Small",3
"44",2018,820,32.6,"Diesel","Dealer","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",3
"45",2018,390,10.3,"Petrol","Dealer","Manual","First Owner",23.95,998,67.05,5,90,3500,"Maruti","Small",3
"46",2014,1500,77,"Diesel","Dealer","Manual","First Owner",12.55,2982,168.5,7,343,3400,"Toyota","Medium",7
"47",2013,700,99,"Diesel","Dealer","Manual","First Owner",12.99,2494,100,7,200,3400,"Toyota","Medium",8
"48",2014,1450,27.8,"Diesel","Dealer","Automatic","Second Owner",14.8,2143,120.7,5,200,4000,"Mercedes-Benz","Small",7
"49",2015,425,49.8,"Diesel","Dealer","Manual","First Owner",24.7,1498,98.63,5,200,1750,"Honda","Small",6
"50",2013,1090,151,"Diesel","Dealer","Manual","First Owner",13.5,2477,175.56,7,400,2500,"Mitsubishi","Medium",8
"51",2015,600,54.7,"Diesel","Dealer","Manual","First Owner",26,1498,98.6,5,200,1750,"Honda","Small",6
"52",2018,850,64,"Petrol","Dealer","Manual","First Owner",20.65,1462,103.25,5,138,4400,"Maruti","Small",3
"53",2015,525,63,"Diesel","Dealer","Manual","First Owner",27.3,1498,98.6,5,200,1750,"Honda","Small",6
"54",2016,1650,127.7,"Diesel","Dealer","Automatic","Second Owner",11.36,2755,171.5,7,360,3400,"Toyota","Medium",5
"55",2016,950,99,"Diesel","Dealer","Manual","First Owner",12.99,2494,100.6,7,200,3600,"Toyota","Medium",5
"56",2013,1750,33.9,"Diesel","Dealer","Automatic","Second Owner",17.68,1968,174.33,5,380,2500,"Audi","Small",8
"57",2018,1590,25,"Petrol","Dealer","Automatic","First Owner",14.28,1798,138.03,5,173,4000,"Toyota","Small",3
"58",2013,1690,50,"Diesel","Dealer","Automatic","First Owner",18.53,1968,187.74,5,400,3000,"Audi","Small",8
"59",2013,1425,59,"Diesel","Dealer","Automatic","First Owner",14.84,2143,170,5,400,2800,"Mercedes-Benz","Small",8
"60",2011,265,120,"Diesel","Individual","Manual","First Owner",21.12,1248,88.8,5,200,3000,"Tata","Small",10
"61",2011,190,110,"Petrol","Individual","Manual","Third Owner",20.36,1197,78.9,5,111,4000,"Hyundai","Small",10
"62",2013,425,60,"Diesel","Individual","Manual","First Owner",21.27,1396,88.76,5,219,2750,"Hyundai","Small",8
"63",2015,630,147,"Diesel","Individual","Manual","Second Owner",26.59,1248,74,5,190,2000,"Maruti","Small",6
"64",2017,600,25,"Petrol","Individual","Manual","Third Owner",18.16,1196,86.8,5,112,4000,"Ford","Small",4
"65",2019,650,30,"Petrol","Individual","Manual","First Owner",21.4,1197,83.1,5,115,4000,"Maruti","Small",2
"66",2016,540,40,"Diesel","Individual","Manual","First Owner",22,1498,108.495,5,250,3000,"Volkswagen","Small",5
"67",2015,630,135,"Diesel","Individual","Manual","First Owner",25.1,1498,98.6,5,200,1750,"Honda","Small",6
"68",2018,448,30,"Petrol","Individual","Automatic","First Owner",20.51,998,67,5,90,3500,"Maruti","Small",3
"69",2017,500,80,"Diesel","Individual","Manual","First Owner",21.66,1498,108.62,5,250,3000,"Volkswagen","Small",4
"70",2016,745,70,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",5
"71",2019,1025,9.85,"Diesel","Individual","Automatic","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",2
"72",2011,235,60,"Petrol","Individual","Manual","Second Owner",20.36,1197,78.9,5,111,4000,"Hyundai","Small",10
"73",2016,630,70,"Diesel","Individual","Manual","First Owner",25.2,1248,74,5,190,2000,"Maruti","Small",5
"74",2015,1700,78,"Diesel","Individual","Manual","Second Owner",12.55,2982,168.5,7,343,3400,"Toyota","Medium",6
"75",2013,450,120,"Diesel","Individual","Manual","Second Owner",22.9,1248,74,5,190,2000,"Maruti","Small",8
"76",2012,450,120,"Petrol","Individual","Manual","Second Owner",16.02,1373,93.7,7,130,4000,"Maruti","Medium",9
"77",2003,50,70,"Diesel","Individual","Manual","First Owner",16.355,1023.4,59.045,4.6,60.05,3145,"Tata","Small",18
"78",2013,450,170,"Diesel","Individual","Manual","First Owner",20.54,1598,103.6,5,250,2500,"Volkswagen","Small",8
"79",2016,1200,140,"Diesel","Individual","Manual","First Owner",12.99,2494,100.6,8,200,3600,"Toyota","Medium",5
"80",2015,610,90,"Diesel","Individual","Manual","First Owner",22.77,1498,98.59,5,205,3250,"Ford","Small",6
"81",2016,2500,30,"Petrol","Individual","Automatic","Second Owner",15.71,1998,189,5,280,4600,"BMW","Small",5
"82",2017,485,10,"Petrol","Dealer","Manual","First Owner",23.1,998,67.04,5,90,3500,"Maruti","Small",4
"83",2016,275,49,"Petrol","Dealer","Manual","First Owner",19.02,1198,67.05,5,104,4000,"Datsun","Small",5
"84",2016,315,32,"Petrol","Dealer","Manual","First Owner",24.7,796,47.3,5,69,3500,"Maruti","Small",5
"85",2016,275,38,"Petrol","Dealer","Manual","First Owner",24.7,796,47.3,5,69,3500,"Maruti","Small",5
"86",2015,475,78,"Diesel","Dealer","Manual","First Owner",22.636,1541.5,84.5825,5.2,195.45,2497.5,"Maruti","Medium",6
"87",2012,290,28,"Petrol","Dealer","Manual","First Owner",19.81,1086,68.05,5,99,4500,"Hyundai","Small",9
"88",2017,280,32,"Petrol","Dealer","Manual","First Owner",14,796,35,5,6,3000,"Maruti","Small",4
"89",2015,455,42,"Petrol","Dealer","Manual","First Owner",16.47,1198,74,5,110,3750,"Volkswagen","Small",6
"90",2015,351,45,"Petrol","Dealer","Manual","Second Owner",19.81,1086,68.05,5,99,4500,"Hyundai","Small",6
"91",2012,535,12,"Petrol","Dealer","Manual","Second Owner",15.04,1598,103.6,5,153,3800,"Volkswagen","Small",9
"92",2009,175,55.5,"Petrol","Dealer","Manual","First Owner",18.2,998,67.1,5,90,3500,"Maruti","Small",12
"93",2013,525,61.5,"Petrol","Dealer","Manual","First Owner",18.5,1197,82.85,5,113,4000,"Hyundai","Small",8
"94",2016,600,150,"Diesel","Individual","Manual","First Owner",26.59,1248,74,5,190,2000,"Maruti","Small",5
"95",2016,565,72,"Petrol","Dealer","Automatic","First Owner",19.1,1197,82,5,114,4000,"Hyundai","Small",5
"96",2008,120,68,"Petrol","Dealer","Manual","Third Owner",19.7,796,46.3,5,62,3000,"Maruti","Small",13
"97",2017,725,110,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,219,2750,"Hyundai","Small",4
"98",2009,185,77,"Petrol","Dealer","Manual","Second Owner",21.79,998,67.05,5,90,3500,"Maruti","Small",12
"99",2010,200,100,"Diesel","Individual","Manual","Second Owner",18.8,1248,90,5,200,3000,"Tata","Small",11
"100",2019,615,10,"Petrol","Individual","Manual","First Owner",21.21,1197,81.8,5,113,4200,"Maruti","Small",2
"101",2016,270,100,"Petrol","Individual","Manual","Third Owner",15.37,1196,73,7,101,3000,"Maruti","Medium",5
"102",2018,610,35,"Petrol","Individual","Manual","First Owner",21.4,1197,83.1,5,115,4000,"Maruti","Small",3
"103",2014,625,70,"Diesel","Individual","Automatic","Second Owner",11.79,2179,120,8,290,2800,"Mahindra","Medium",7
"104",2020,400,5,"Petrol","Individual","Manual","Second Owner",19,1194,94.68,5,120,4250,"Ford","Small",1
"105",2017,866,37.8,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,151,4850,"Hyundai","Small",4
"106",2010,700,114,"Petrol","Individual","Manual","First Owner",14.3,1798,160,5,250,4500,"Volkswagen","Small",11
"107",2010,300,48,"Petrol","Individual","Manual","First Owner",15.8,1172,65,5,96,3000,"Tata","Small",11
"108",2019,1700,32,"Diesel","Individual","Manual","First Owner",15.1,2179,155,7,360,2800,"Mahindra","Medium",2
"109",2016,375,100,"Diesel","Individual","Manual","First Owner",19.09,1405,69.01,5,135,2500,"Tata","Small",5
"110",2013,522,150,"Diesel","Individual","Manual","Second Owner",22.32,1582,126.32,5,259,2750,"Hyundai","Small",8
"111",2013,452,69,"Diesel","Individual","Manual","First Owner",21.9,1396,88.76,5,219,2750,"Hyundai","Small",8
"112",2009,300,100,"Petrol","Individual","Manual","Second Owner",14.53,1798,138.1,5,173,4000,"Toyota","Small",12
"113",2020,475,13,"Petrol","Individual","Manual","First Owner",21.63,998,67.04,5,90,3500,"Maruti","Small",1
"114",2016,780,60,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",5
"115",2017,595,40,"Petrol","Individual","Manual","First Owner",20.85,1197,83.14,5,115,4000,"Maruti","Small",4
"116",2017,440,35,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,90,3500,"Maruti","Small",4
"117",2010,300,120,"Diesel","Individual","Manual","Second Owner",17.277,1635,92,5.5,195.95,2597.5,"Maruti","Medium",11
"118",2014,400,70,"Diesel","Individual","Manual","Third Owner",20.45,1461,83.8,5,200,1900,"Nissan","Small",7
"119",2016,1140,50,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,259,2750,"Hyundai","Small",5
"120",2017,850,76.14,"Diesel","Individual","Manual","First Owner",23,1498,98.96,5,205,3250,"Ford","Small",4
"121",2012,370,175,"Diesel","Individual","Manual","Fourth & Above Owner",19.3,1248,73.9,5,190,2000,"Maruti","Small",9
"122",2018,350,25,"Petrol","Individual","Manual","First Owner",23.01,999,67,5,91,4250,"Renault","Small",3
"123",2015,360,40,"Petrol","Individual","Manual","Second Owner",23.1,998,67.04,5,90,3500,"Maruti","Small",6
"124",2008,105,65,"Petrol","Individual","Manual","Fourth & Above Owner",19.7,796,46.3,5,62,3000,"Maruti","Small",13
"125",2013,625,90,"Diesel","Individual","Manual","Second Owner",20.77,1248,88.76,7,200,1750,"Maruti","Medium",8
"126",2009,135,80,"Petrol","Individual","Manual","Second Owner",17.92,1086,62.1,5,96,3000,"Hyundai","Small",12
"127",2015,700,110,"Diesel","Individual","Manual","Second Owner",20.77,1248,88.76,7,200,1750,"Maruti","Medium",6
"128",2019,690,1.3,"Petrol","Dealer","Manual","First Owner",17.8,1198,86.7,5,109,4500,"Honda","Small",2
"129",2018,3975,31.8,"Diesel","Dealer","Automatic","First Owner",17.01,1968,188,5,400,3000,"Audi","Small",3
"130",2019,5150,20,"Petrol","Dealer","Automatic","First Owner",22.37,2487,214.56,5,202,5200,"Lexus","Small",2
"131",2017,3200,45,"Diesel","Dealer","Automatic","First Owner",19.33,1999,177,5,430,2500,"Jaguar","Small",4
"132",2017,4100,17,"Petrol","Individual","Automatic","First Owner",9.5,3604,280,5,347,4300,"Jeep","Small",4
"133",2019,4500,21,"Diesel","Dealer","Automatic","First Owner",12.83,1999,148.31,7,382,2250,"Land Rover","Medium",2
"134",2017,6000,37,"Diesel","Dealer","Automatic","First Owner",13.5,2987,254.79,5,620,2400,"Mercedes-Benz","Small",4
"135",2018,3790,29.5,"Diesel","Dealer","Automatic","First Owner",22.48,1995,187.74,5,400,2500,"BMW","Small",3
"136",2017,2150,27,"Diesel","Dealer","Automatic","First Owner",15.401,2287.35,164.034,6.1,347.4,2997.5,"BMW","Medium",4
"137",2019,5800,7.5,"Diesel","Dealer","Automatic","First Owner",16.78,1995,190,5,400,2500,"BMW","Small",2
"138",2018,1865,50,"Petrol","Dealer","Automatic","First Owner",14.67,1798,177.46,5,250,5000,"Skoda","Small",3
"139",2016,2700,35,"Diesel","Dealer","Automatic","First Owner",15,2143,204,5,500,1800,"Mercedes-Benz","Small",5
"140",2019,1750,19,"Petrol","Dealer","Automatic","First Owner",13.96,1451,141,5,250,3600,"MG","Small",2
"141",2017,795,41,"Petrol","Dealer","Automatic","First Owner",18,1497,117.6,5,145,4600,"Honda","Small",4
"142",2013,625,39,"Petrol","Dealer","Automatic","First Owner",14.28,1798,138.03,5,173,4000,"Toyota","Small",8
"143",2018,3400,22,"Diesel","Dealer","Automatic","First Owner",18,1969,190,5,400,400,"Volvo","Small",3
"144",2015,2650,53,"Diesel","Dealer","Automatic","First Owner",12.07,2967,241.4,7,550,2750,"Audi","Medium",6
"145",2015,535,40,"Diesel","Dealer","Manual","First Owner",26.21,1248,88.5,5,200,1750,"Maruti","Small",6
"146",2017,5850,47,"Diesel","Dealer","Automatic","First Owner",13.5,2987,282,5,490,1600,"Mercedes-Benz","Small",4
"147",2010,975,72.2,"Petrol","Dealer","Automatic","Second Owner",10.8,2497,150,5,250,2750,"BMW","Small",11
"148",2016,805,49.9,"Petrol","Dealer","Manual","First Owner",16.3,1797,147.5,5,177,4700,"Hyundai","Small",5
"149",2017,2625,9,"Diesel","Dealer","Automatic","First Owner",13.6,1999,177,5,430,2500,"Jaguar","Small",4
"150",2018,811,11,"Petrol","Dealer","Manual","First Owner",17,1198,108.5,5,170,4000,"Tata","Small",3
"151",2011,375,49,"Petrol","Individual","Manual","First Owner",15.04,1598,103.6,5,153,3800,"Volkswagen","Small",10
"152",2012,550,95,"Petrol","Individual","Manual","First Owner",16.3,1797,147.5,5,177,4700,"Hyundai","Small",9
"153",2016,645,11,"Petrol","Dealer","Automatic","First Owner",14.3,1598,103.5,5,153,3800,"Skoda","Small",5
"154",2018,2550,18,"Petrol","Dealer","Automatic","First Owner",15.04,1991,183,5,300,4000,"Mercedes-Benz","Small",3
"155",2014,599,46.1,"Petrol","Dealer","Manual","First Owner",16.02,1373,93.7,7,130,4000,"Maruti","Medium",7
"156",2017,2700,16,"Petrol","Dealer","Automatic","First Owner",14.74,1991,181.04,5,300,1400,"Mercedes-Benz","Small",4
"157",2017,875,18,"Petrol","Dealer","Automatic","First Owner",15.6,1497,116.3,5,146,4800,"Honda","Small",4
"158",2019,895,9.65,"Petrol","Dealer","Automatic","First Owner",19.56,1197,81.8,5,113,4200,"Toyota","Small",2
"159",2011,175,11,"Petrol","Dealer","Manual","First Owner",23.95,998,67.05,5,90,3500,"Maruti","Small",10
"160",2012,340,24.3,"Petrol","Dealer","Manual","First Owner",21.21,1197,81.8,5,113,4200,"Maruti","Small",9
"161",2016,1525,42.16,"Diesel","Dealer","Automatic","Second Owner",11.36,2755,171.5,7,360,3400,"Toyota","Medium",5
"162",2018,1025,8,"Diesel","Dealer","Automatic","First Owner",21.5,1497,108.5,5,260,2750,"Tata","Small",3
"163",2016,2150,30,"Diesel","Dealer","Automatic","First Owner",22.69,1995,190,5,400,2500,"BMW","Small",5
"164",2016,1900,41,"Petrol","Dealer","Automatic","First Owner",19.16,2494,157.7,5,213,4500,"Toyota","Small",5
"165",2016,2900,12,"Diesel","Dealer","Automatic","First Owner",18.12,1995,190,5,400,2500,"BMW","Small",5
"166",2009,450,71,"Petrol","Dealer","Automatic","First Owner",12.1,2362,164.7,5,224,4000,"Toyota","Small",12
"167",2016,850,20,"Petrol","Individual","Manual","First Owner",17.5,1373,91.1,7,130,4000,"Maruti","Medium",5
"168",2017,10000,30,"Petrol","Individual","Automatic","First Owner",42,1969,400,4,640,1740,"Volvo","Small",4
"169",2011,300,100,"Diesel","Individual","Manual","Second Owner",20.54,1598,103.6,5,250,2500,"Volkswagen","Small",10
"170",2018,575,9.5,"Petrol","Individual","Manual","First Owner",18.16,1196,86.8,5,112,4000,"Ford","Small",3
"171",2011,160,120,"Diesel","Individual","Manual","First Owner",20,1399,68,5,160,2000,"Ford","Small",10
"172",2015,515,36.6,"Petrol","Individual","Manual","First Owner",20.4,1197,81.8,5,113,4200,"Maruti","Small",6
"173",2015,390,50,"Petrol","Individual","Automatic","Second Owner",20.51,998,67,5,90,3500,"Maruti","Small",6
"174",2016,550,14,"Petrol","Individual","Manual","Second Owner",18.6,1197,81.83,5,114,4000,"Hyundai","Small",5
"175",1999,40,40,"Petrol","Individual","Manual","Second Owner",16.1,796,37,4,59,2500,"Maruti","Small",22
"176",2010,220,120,"Diesel","Individual","Manual","First Owner",21.1,1248,73.9,5,113,4500,"Maruti","Small",11
"177",2015,425,70,"Petrol","Individual","Manual","First Owner",18.9,1197,82,5,114,4000,"Hyundai","Small",6
"178",2019,480,13,"Petrol","Individual","Manual","First Owner",19.44,999,75,5,95,4300,"Volkswagen","Small",2
"179",2014,400,60,"Petrol","Individual","Manual","Second Owner",18.9,1197,82,5,114,4000,"Hyundai","Small",7
"180",2014,487,35,"Petrol","Individual","Manual","First Owner",19.1,1197,85.8,5,114,4000,"Maruti","Small",7
"181",2016,386,44,"Petrol","Individual","Manual","Second Owner",19.1,1197,82,5,114,4000,"Hyundai","Small",5
"182",2005,100,120,"Petrol","Individual","Manual","Second Owner",13,1493,100,5,13,4600,"Honda","Small",16
"183",2010,300,60,"Diesel","Individual","Manual","First Owner",21.43,1364,87.2,5,205,2800,"Toyota","Small",11
"184",2000,100,60,"Petrol","Individual","Manual","First Owner",18.5,796,53,5,71,3500,"Daewoo","Small",21
"185",2014,1750,30,"Diesel","Individual","Manual","Second Owner",13,2982,168.5,7,343,3400,"Toyota","Medium",7
"186",2016,450,15,"Petrol","Individual","Manual","Second Owner",18.15,1198,82,6,115,3600,"Mahindra","Medium",5
"187",2017,490,90,"Diesel","Individual","Manual","First Owner",22.95,1248,74,5,190,3000,"Tata","Small",4
"188",2009,345,47,"Petrol","Individual","Manual","Second Owner",17,1497,118,5,146,4800,"Honda","Small",12
"189",2005,85,90,"Petrol","Individual","Manual","First Owner",17.3,993,60,5,78,4500,"Maruti","Small",16
"190",2010,215,120.6,"Petrol","Individual","Manual","Second Owner",18.9,998,67.1,5,90,3500,"Maruti","Small",11
"191",2010,320,100,"Petrol","Individual","Manual","Third Owner",16.2,1599,103.2,5,14,3000,"Hyundai","Small",11
"192",2016,460,60,"Petrol","Individual","Manual","Second Owner",20.85,1197,83.14,5,115,4000,"Maruti","Small",5
"193",2005,65,86,"Petrol","Individual","Manual","First Owner",15.3,1341,83,5,115,3200,"Hyundai","Small",16
"194",2020,720,5,"Petrol","Individual","Manual","First Owner",18.6,1197,81.86,5,117,4000,"Hyundai","Small",1
"195",2017,800,37,"Diesel","Individual","Manual","First Owner",28.09,1248,88.5,5,200,1750,"Maruti","Small",4
"196",2019,520,14,"Petrol","Individual","Manual","First Owner",20.3,1199,84,5,114,3500,"Tata","Small",2
"197",2015,580,70,"Diesel","Individual","Manual","First Owner",20.77,1248,88.76,7,200,1750,"Maruti","Medium",6
"198",2012,235,120,"Diesel","Individual","Manual","First Owner",19.716,1561.65,80.151,5.6,172.95,2545,"Toyota","Medium",9
"199",2015,600,50,"Petrol","Individual","Manual","First Owner",17.4,1497,117.3,5,145,4600,"Honda","Small",6
"200",2014,290,60,"Petrol","Individual","Manual","Second Owner",19.4,1198,86.8,5,109,4500,"Honda","Small",7
"201",2017,550,50,"Petrol","Individual","Manual","First Owner",20.85,1197,83.14,5,115,4000,"Maruti","Small",4
"202",2013,375,70,"Petrol","Individual","Manual","First Owner",18.5,1197,82.85,5,113,4000,"Hyundai","Small",8
"203",2003,40,90,"Petrol","Individual","Manual","Second Owner",16.105,1095.15,61.085,4.75,70.45,3150,"Maruti","Small",18
"204",2018,420,35,"Petrol","Individual","Automatic","First Owner",20.51,998,67,5,90,3500,"Maruti","Small",3
"205",2017,550,20,"Petrol","Individual","Manual","First Owner",21.21,1197,81.8,5,113,4200,"Maruti","Small",4
"206",2018,270,20,"Petrol","Individual","Manual","First Owner",24.7,796,47.3,5,69,3500,"Maruti","Small",3
"207",2018,700,7.8,"Petrol","Individual","Automatic","First Owner",22,1197,81.8,5,113,4200,"Maruti","Small",3
"208",2017,500,20,"Petrol","Individual","Manual","First Owner",20.4,1197,81.8,5,113,4200,"Maruti","Small",4
"209",2019,1250,15,"Diesel","Individual","Manual","First Owner",17.6,2179,147.94,7,320,3000,"Tata","Medium",2
"210",2013,320,31.38,"Petrol","Individual","Manual","Second Owner",18.5,1197,82.85,5,113,4000,"Hyundai","Small",8
"211",2018,700,50,"Diesel","Individual","Manual","First Owner",28.4,1248,74.02,5,190,2000,"Maruti","Small",3
"212",2015,290,60,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,90,3500,"Maruti","Small",6
"213",2012,550,100,"Petrol","Individual","Automatic","First Owner",14.53,1794,138.1,5,173,4000,"Toyota","Small",9
"214",2012,265,60,"Petrol","Individual","Manual","First Owner",19.4,1198,86.8,5,109,4500,"Honda","Small",9
"215",2018,830,5,"Petrol","Individual","Automatic","First Owner",21.4,1197,83.1,5,115,4000,"Maruti","Small",3
"216",2017,800,60,"Diesel","Individual","Manual","First Owner",14.1,2179,147.94,7,320,3000,"Tata","Medium",4
"217",2011,160,25,"Petrol","Individual","Manual","Second Owner",19.7,796,46.3,5,62,3000,"Maruti","Small",10
"218",2018,335,30,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,72,4386,"Renault","Small",3
"219",2017,329,80,"Petrol","Individual","Manual","Second Owner",20.63,1198,67,5,104,4000,"Datsun","Small",4
"220",2017,775,75,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",4
"221",2020,524,32,"Petrol","Individual","Manual","First Owner",20.14,1197,81.86,5,113,4000,"Hyundai","Small",1
"222",2015,245,40,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",6
"223",2012,275,93,"Petrol","Individual","Manual","Second Owner",17,1197,80,5,11,4000,"Hyundai","Small",9
"224",2018,520,60,"Petrol","Individual","Manual","First Owner",17.57,1193,88.7,5,140,4000,"Tata","Small",3
"225",2008,130,120,"Petrol","Individual","Manual","Second Owner",16.9975,1417.9,76.1825,5.65,84.85,2742.5,"Maruti","Medium",13
"226",2014,550,37,"Petrol","Individual","Manual","First Owner",16.95,1498,97.7,5,134,4000,"Nissan","Small",7
"227",2018,910,15,"Petrol","Individual","Manual","First Owner",17,1497,121.36,5,150,4500,"Ford","Small",3
"228",2015,300,80,"Petrol","Individual","Manual","First Owner",19.49,1198,67.04,5,104,4000,"Nissan","Small",6
"229",2016,350,140,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,90,3500,"Maruti","Small",5
"230",2013,900,70,"Diesel","Individual","Manual","First Owner",12.83,2696,162,7,340,3250,"Mahindra","Medium",8
"231",2013,300,120,"Diesel","Individual","Manual","Second Owner",17.21,1493,100,7,240,2800,"Mahindra","Medium",8
"232",2010,250,110,"Diesel","Individual","Manual","Second Owner",21.1,1248,73.9,5,190,2000,"Maruti","Small",11
"233",2017,1100,37,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,259,2750,"Hyundai","Small",4
"234",2016,270,44,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,72,4386,"Renault","Small",5
"235",2015,640,80,"Diesel","Individual","Manual","First Owner",20.77,1248,88.76,7,200,1750,"Maruti","Medium",6
